tract_fips,Year,Inclusive Growth Score,tract_name,Type
1121011100,2021,50.0,Census Tract 111; Talladega County; Alabama,Historical
1121011100,2022,56.0,Census Tract 111; Talladega County; Alabama,Historical
1121011100,2023,50.0,Census Tract 111; Talladega County; Alabama,Historical
1121011100,2024,50.0,Census Tract 111; Talladega County; Alabama,Historical
1121011100,2025,50.57,Census Tract 111; Talladega County; Alabama,Predicted (Baseline)
1121011100,2025,51.45,Census Tract 111; Talladega County; Alabama,Predicted (Full Intervention)
1121011100,2026,51.14,Census Tract 111; Talladega County; Alabama,Predicted (Baseline)
1121011100,2026,53.45,Census Tract 111; Talladega County; Alabama,Predicted (Full Intervention)
1121011100,2027,51.72,Census Tract 111; Talladega County; Alabama,Predicted (Baseline)
1121011100,2027,55.56,Census Tract 111; Talladega County; Alabama,Predicted (Full Intervention)
1121011100,2028,52.29,Census Tract 111; Talladega County; Alabama,Predicted (Baseline)
1121011100,2028,57.67,Census Tract 111; Talladega County; Alabama,Predicted (Full Intervention)
1121011100,2029,52.86,Census Tract 111; Talladega County; Alabama,Predicted (Baseline)
1121011100,2029,59.67,Census Tract 111; Talladega County; Alabama,Predicted (Full Intervention)
