year,unemployment_rate,labor_force,employment,unemployment
2017,5.38,33447.83,31643.5,1804.33
2018,4.49,33946.42,32418.08,1528.33
2019,3.82,34343.92,33030.42,1313.5
2020,8.07,34592.17,31800.75,2791.42
2021,4.23,33868.0,32434.5,1433.5
2022,3.11,34244.92,33182.92,1062.0
2023,2.83,34685.92,33705.17,980.75
2024,3.41,34839.33,33657.75,1181.58
